Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,26,9,Some Random Commen with Id 0
1,0,2,11,9,Some Random Commen with Id 1
2,1,3,10,0,Some Random Commen with Id 2
3,2,1,113,6,Some Random Commen with Id 3
4,2,1,155,8,Some Random Commen with Id 4
5,3,5,44,1,Some Random Commen with Id 5
6,3,5,19,4,Some Random Commen with Id 6
7,3,5,183,8,Some Random Commen with Id 7
8,3,5,192,0,Some Random Commen with Id 8
9,3,5,144,4,Some Random Commen with Id 9
10,3,5,83,3,Some Random Commen with Id 10
11,3,5,153,2,Some Random Commen with Id 11
12,5,0,21,1,Some Random Commen with Id 12
13,5,0,199,8,Some Random Commen with Id 13
14,5,0,174,7,Some Random Commen with Id 14
15,5,0,31,4,Some Random Commen with Id 15
16,5,0,149,6,Some Random Commen with Id 16
17,5,0,34,6,Some Random Commen with Id 17
18,5,0,39,6,Some Random Commen with Id 18
19,5,0,27,3,Some Random Commen with Id 19
20,6,6,18,4,Some Random Commen with Id 20
21,6,6,103,3,Some Random Commen with Id 21
22,6,6,77,9,Some Random Commen with Id 22
23,6,6,164,6,Some Random Commen with Id 23
24,6,6,38,7,Some Random Commen with Id 24
25,7,3,90,9,Some Random Commen with Id 25
26,7,3,175,0,Some Random Commen with Id 26
27,7,3,121,9,Some Random Commen with Id 27
28,7,3,50,8,Some Random Commen with Id 28
29,8,9,107,9,Some Random Commen with Id 29
30,8,9,117,1,Some Random Commen with Id 30
31,8,9,135,7,Some Random Commen with Id 31
32,9,1,192,1,Some Random Commen with Id 32
33,9,1,35,5,Some Random Commen with Id 33
34,9,1,145,7,Some Random Commen with Id 34
35,9,1,20,0,Some Random Commen with Id 35
36,9,1,31,0,Some Random Commen with Id 36
37,9,1,136,4,Some Random Commen with Id 37
38,9,1,59,0,Some Random Commen with Id 38
39,9,1,136,1,Some Random Commen with Id 39
40,9,1,52,8,Some Random Commen with Id 40
41,10,0,42,1,Some Random Commen with Id 41
42,10,0,22,7,Some Random Commen with Id 42
43,10,0,197,7,Some Random Commen with Id 43
44,10,0,97,8,Some Random Commen with Id 44
45,10,0,20,4,Some Random Commen with Id 45
46,10,0,96,1,Some Random Commen with Id 46
47,10,0,161,2,Some Random Commen with Id 47
48,10,0,70,0,Some Random Commen with Id 48
49,11,1,24,3,Some Random Commen with Id 49
50,11,1,82,1,Some Random Commen with Id 50
51,11,1,102,4,Some Random Commen with Id 51
52,11,1,61,4,Some Random Commen with Id 52
53,11,1,12,8,Some Random Commen with Id 53
54,11,1,26,0,Some Random Commen with Id 54
55,11,1,23,7,Some Random Commen with Id 55
56,11,1,35,0,Some Random Commen with Id 56
57,12,9,137,9,Some Random Commen with Id 57
58,12,9,24,8,Some Random Commen with Id 58
59,14,0,157,5,Some Random Commen with Id 59
60,15,9,92,5,Some Random Commen with Id 60
61,15,9,143,2,Some Random Commen with Id 61
62,15,9,183,7,Some Random Commen with Id 62
63,15,9,121,7,Some Random Commen with Id 63
64,15,9,98,1,Some Random Commen with Id 64
65,15,9,196,9,Some Random Commen with Id 65
66,15,9,76,7,Some Random Commen with Id 66
67,15,9,186,3,Some Random Commen with Id 67
68,15,9,8,0,Some Random Commen with Id 68
69,16,8,177,7,Some Random Commen with Id 69
70,16,8,89,4,Some Random Commen with Id 70
71,16,8,151,5,Some Random Commen with Id 71
72,16,8,8,4,Some Random Commen with Id 72
73,16,8,166,2,Some Random Commen with Id 73
74,16,8,150,6,Some Random Commen with Id 74
75,16,8,125,0,Some Random Commen with Id 75
76,16,8,139,0,Some Random Commen with Id 76
77,17,6,103,7,Some Random Commen with Id 77
78,17,6,30,3,Some Random Commen with Id 78
79,17,6,2,7,Some Random Commen with Id 79
80,17,6,46,2,Some Random Commen with Id 80
81,17,6,33,2,Some Random Commen with Id 81
82,17,6,166,3,Some Random Commen with Id 82
83,17,6,149,0,Some Random Commen with Id 83
84,17,6,27,7,Some Random Commen with Id 84
85,17,6,93,2,Some Random Commen with Id 85
86,18,4,3,1,Some Random Commen with Id 86
87,19,4,4,6,Some Random Commen with Id 87
88,19,4,25,3,Some Random Commen with Id 88
89,19,4,9,8,Some Random Commen with Id 89
90,19,4,35,1,Some Random Commen with Id 90
91,20,1,86,0,Some Random Commen with Id 91
92,20,1,35,7,Some Random Commen with Id 92
93,20,1,164,8,Some Random Commen with Id 93
94,20,1,104,0,Some Random Commen with Id 94
95,20,1,49,5,Some Random Commen with Id 95
96,20,1,65,6,Some Random Commen with Id 96
97,20,1,2,0,Some Random Commen with Id 97
98,22,0,115,6,Some Random Commen with Id 98
99,22,0,139,5,Some Random Commen with Id 99
100,23,0,123,0,Some Random Commen with Id 100
101,23,0,37,9,Some Random Commen with Id 101
102,23,0,122,8,Some Random Commen with Id 102
103,23,0,145,9,Some Random Commen with Id 103
104,23,0,54,4,Some Random Commen with Id 104
105,24,7,154,1,Some Random Commen with Id 105
106,24,7,1,5,Some Random Commen with Id 106
107,24,7,36,3,Some Random Commen with Id 107
108,24,7,69,7,Some Random Commen with Id 108
109,24,7,17,2,Some Random Commen with Id 109
110,24,7,187,6,Some Random Commen with Id 110
111,24,7,77,8,Some Random Commen with Id 111
112,24,7,180,9,Some Random Commen with Id 112
113,25,5,80,7,Some Random Commen with Id 113
114,25,5,72,6,Some Random Commen with Id 114
115,25,5,171,5,Some Random Commen with Id 115
116,25,5,108,3,Some Random Commen with Id 116
117,25,5,142,1,Some Random Commen with Id 117
118,25,5,25,9,Some Random Commen with Id 118
119,25,5,198,3,Some Random Commen with Id 119
120,25,5,156,6,Some Random Commen with Id 120
121,26,8,156,5,Some Random Commen with Id 121
122,27,9,150,6,Some Random Commen with Id 122
123,27,9,164,3,Some Random Commen with Id 123
124,27,9,151,5,Some Random Commen with Id 124
125,28,4,104,8,Some Random Commen with Id 125
126,28,4,46,0,Some Random Commen with Id 126
127,28,4,163,7,Some Random Commen with Id 127
