Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,169,9,Some Random Commen with Id 0
1,0,5,142,4,Some Random Commen with Id 1
2,0,5,73,6,Some Random Commen with Id 2
3,0,5,92,4,Some Random Commen with Id 3
4,0,5,116,2,Some Random Commen with Id 4
5,0,5,81,1,Some Random Commen with Id 5
6,0,5,89,6,Some Random Commen with Id 6
7,0,5,48,9,Some Random Commen with Id 7
8,1,5,180,4,Some Random Commen with Id 8
9,1,5,68,0,Some Random Commen with Id 9
10,1,5,141,5,Some Random Commen with Id 10
11,1,5,170,1,Some Random Commen with Id 11
12,1,5,50,0,Some Random Commen with Id 12
13,1,5,47,0,Some Random Commen with Id 13
14,1,5,161,5,Some Random Commen with Id 14
15,1,5,184,0,Some Random Commen with Id 15
16,1,5,98,3,Some Random Commen with Id 16
17,2,2,121,5,Some Random Commen with Id 17
18,2,2,114,0,Some Random Commen with Id 18
19,2,2,154,4,Some Random Commen with Id 19
20,2,2,144,3,Some Random Commen with Id 20
21,2,2,103,0,Some Random Commen with Id 21
22,2,2,170,8,Some Random Commen with Id 22
23,2,2,197,7,Some Random Commen with Id 23
24,2,2,109,9,Some Random Commen with Id 24
25,2,2,149,3,Some Random Commen with Id 25
26,3,4,174,8,Some Random Commen with Id 26
27,3,4,102,3,Some Random Commen with Id 27
28,3,4,167,0,Some Random Commen with Id 28
29,3,4,92,4,Some Random Commen with Id 29
30,3,4,122,4,Some Random Commen with Id 30
31,3,4,172,4,Some Random Commen with Id 31
32,3,4,85,2,Some Random Commen with Id 32
33,4,5,66,9,Some Random Commen with Id 33
34,4,5,177,0,Some Random Commen with Id 34
35,5,9,149,4,Some Random Commen with Id 35
36,5,9,46,6,Some Random Commen with Id 36
37,5,9,32,2,Some Random Commen with Id 37
38,5,9,52,1,Some Random Commen with Id 38
39,5,9,73,7,Some Random Commen with Id 39
40,6,4,144,1,Some Random Commen with Id 40
41,6,4,86,6,Some Random Commen with Id 41
42,6,4,87,2,Some Random Commen with Id 42
43,6,4,68,4,Some Random Commen with Id 43
44,6,4,138,2,Some Random Commen with Id 44
45,6,4,33,0,Some Random Commen with Id 45
46,6,4,177,6,Some Random Commen with Id 46
47,6,4,3,6,Some Random Commen with Id 47
48,7,6,174,6,Some Random Commen with Id 48
49,7,6,73,1,Some Random Commen with Id 49
50,7,6,25,9,Some Random Commen with Id 50
51,7,6,170,6,Some Random Commen with Id 51
52,7,6,71,2,Some Random Commen with Id 52
53,7,6,46,3,Some Random Commen with Id 53
54,7,6,2,9,Some Random Commen with Id 54
55,8,6,114,7,Some Random Commen with Id 55
56,8,6,62,8,Some Random Commen with Id 56
57,8,6,50,8,Some Random Commen with Id 57
58,8,6,96,9,Some Random Commen with Id 58
59,8,6,51,5,Some Random Commen with Id 59
60,8,6,49,3,Some Random Commen with Id 60
61,8,6,115,7,Some Random Commen with Id 61
62,8,6,85,5,Some Random Commen with Id 62
